Robot Drawing Waypoints:
----------------------

Point 0: X=170, Y=280, Z=10, Pen=Up
Point 1: X=170, Y=280, Z=0, Pen=Down
Point 2: X=170, Y=287, Z=0, Pen=Down
Point 3: X=171, Y=288, Z=0, Pen=Down
Point 4: X=171, Y=293, Z=0, Pen=Down
Point 5: X=172, Y=294, Z=0, Pen=Down
Point 6: X=172, Y=297, Z=0, Pen=Down
Point 7: X=173, Y=298, Z=0, Pen=Down
Point 8: X=173, Y=300, Z=0, Pen=Down
Point 9: X=174, Y=301, Z=0, Pen=Down
Point 10: X=174, Y=302, Z=0, Pen=Down
Point 11: X=175, Y=303, Z=0, Pen=Down
Point 12: X=175, Y=305, Z=0, Pen=Down
Point 13: X=176, Y=306, Z=0, Pen=Down
Point 14: X=176, Y=307, Z=0, Pen=Down
Point 15: X=177, Y=308, Z=0, Pen=Down
Point 16: X=177, Y=310, Z=0, Pen=Down
Point 17: X=179, Y=312, Z=0, Pen=Down
Point 18: X=179, Y=313, Z=0, Pen=Down
Point 19: X=180, Y=314, Z=0, Pen=Down
Point 20: X=180, Y=315, Z=0, Pen=Down
Point 21: X=184, Y=319, Z=0, Pen=Down
Point 22: X=184, Y=320, Z=0, Pen=Down
Point 23: X=198, Y=334, Z=0, Pen=Down
Point 24: X=200, Y=334, Z=0, Pen=Down
Point 25: X=202, Y=336, Z=0, Pen=Down
Point 26: X=203, Y=336, Z=0, Pen=Down
Point 27: X=205, Y=338, Z=0, Pen=Down
Point 28: X=206, Y=338, Z=0, Pen=Down
Point 29: X=208, Y=340, Z=0, Pen=Down
Point 30: X=209, Y=340, Z=0, Pen=Down
Point 31: X=210, Y=341, Z=0, Pen=Down
Point 32: X=211, Y=341, Z=0, Pen=Down
Point 33: X=212, Y=342, Z=0, Pen=Down
Point 34: X=214, Y=342, Z=0, Pen=Down
Point 35: X=215, Y=343, Z=0, Pen=Down
Point 36: X=216, Y=343, Z=0, Pen=Down
Point 37: X=217, Y=344, Z=0, Pen=Down
Point 38: X=218, Y=344, Z=0, Pen=Down
Point 39: X=219, Y=345, Z=0, Pen=Down
Point 40: X=221, Y=345, Z=0, Pen=Down
Point 41: X=222, Y=346, Z=0, Pen=Down
Point 42: X=225, Y=346, Z=0, Pen=Down
Point 43: X=226, Y=347, Z=0, Pen=Down
Point 44: X=228, Y=347, Z=0, Pen=Down
Point 45: X=229, Y=348, Z=0, Pen=Down
Point 46: X=233, Y=348, Z=0, Pen=Down
Point 47: X=234, Y=349, Z=0, Pen=Down
Point 48: X=240, Y=349, Z=0, Pen=Down
Point 49: X=241, Y=350, Z=0, Pen=Down
Point 50: X=259, Y=350, Z=0, Pen=Down
Point 51: X=260, Y=349, Z=0, Pen=Down
Point 52: X=266, Y=349, Z=0, Pen=Down
Point 53: X=267, Y=348, Z=0, Pen=Down
Point 54: X=271, Y=348, Z=0, Pen=Down
Point 55: X=272, Y=347, Z=0, Pen=Down
Point 56: X=275, Y=347, Z=0, Pen=Down
Point 57: X=276, Y=346, Z=0, Pen=Down
Point 58: X=277, Y=346, Z=0, Pen=Down
Point 59: X=278, Y=345, Z=0, Pen=Down
Point 60: X=280, Y=345, Z=0, Pen=Down
Point 61: X=281, Y=344, Z=0, Pen=Down
Point 62: X=283, Y=344, Z=0, Pen=Down
Point 63: X=284, Y=343, Z=0, Pen=Down
Point 64: X=286, Y=343, Z=0, Pen=Down
Point 65: X=287, Y=342, Z=0, Pen=Down
Point 66: X=288, Y=342, Z=0, Pen=Down
Point 67: X=289, Y=341, Z=0, Pen=Down
Point 68: X=290, Y=341, Z=0, Pen=Down
Point 69: X=291, Y=340, Z=0, Pen=Down
Point 70: X=292, Y=340, Z=0, Pen=Down
Point 71: X=294, Y=338, Z=0, Pen=Down
Point 72: X=295, Y=338, Z=0, Pen=Down
Point 73: X=296, Y=337, Z=0, Pen=Down
Point 74: X=297, Y=337, Z=0, Pen=Down
Point 75: X=299, Y=335, Z=0, Pen=Down
Point 76: X=300, Y=335, Z=0, Pen=Down
Point 77: X=305, Y=330, Z=0, Pen=Down
Point 78: X=306, Y=330, Z=0, Pen=Down
Point 79: X=307, Y=329, Z=0, Pen=Down
Point 80: X=308, Y=329, Z=0, Pen=Down
Point 81: X=311, Y=326, Z=0, Pen=Down
Point 82: X=311, Y=325, Z=0, Pen=Down
Point 83: X=316, Y=320, Z=0, Pen=Down
Point 84: X=316, Y=319, Z=0, Pen=Down
Point 85: X=320, Y=315, Z=0, Pen=Down
Point 86: X=320, Y=314, Z=0, Pen=Down
Point 87: X=321, Y=313, Z=0, Pen=Down
Point 88: X=321, Y=312, Z=0, Pen=Down
Point 89: X=323, Y=310, Z=0, Pen=Down
Point 90: X=323, Y=308, Z=0, Pen=Down
Point 91: X=324, Y=307, Z=0, Pen=Down
Point 92: X=324, Y=306, Z=0, Pen=Down
Point 93: X=325, Y=305, Z=0, Pen=Down
Point 94: X=325, Y=303, Z=0, Pen=Down
Point 95: X=326, Y=302, Z=0, Pen=Down
Point 96: X=326, Y=301, Z=0, Pen=Down
Point 97: X=327, Y=300, Z=0, Pen=Down
Point 98: X=327, Y=298, Z=0, Pen=Down
Point 99: X=328, Y=297, Z=0, Pen=Down
Point 100: X=328, Y=294, Z=0, Pen=Down
Point 101: X=329, Y=293, Z=0, Pen=Down
Point 102: X=329, Y=288, Z=0, Pen=Down
Point 103: X=330, Y=287, Z=0, Pen=Down
Point 104: X=330, Y=280, Z=0, Pen=Down
Point 105: X=330, Y=287, Z=0, Pen=Down
Point 106: X=329, Y=288, Z=0, Pen=Down
Point 107: X=329, Y=293, Z=0, Pen=Down
Point 108: X=328, Y=294, Z=0, Pen=Down
Point 109: X=328, Y=297, Z=0, Pen=Down
Point 110: X=327, Y=298, Z=0, Pen=Down
Point 111: X=327, Y=300, Z=0, Pen=Down
Point 112: X=326, Y=301, Z=0, Pen=Down
Point 113: X=326, Y=302, Z=0, Pen=Down
Point 114: X=325, Y=303, Z=0, Pen=Down
Point 115: X=325, Y=305, Z=0, Pen=Down
Point 116: X=324, Y=306, Z=0, Pen=Down
Point 117: X=324, Y=307, Z=0, Pen=Down
Point 118: X=323, Y=308, Z=0, Pen=Down
Point 119: X=323, Y=310, Z=0, Pen=Down
Point 120: X=321, Y=312, Z=0, Pen=Down
Point 121: X=321, Y=313, Z=0, Pen=Down
Point 122: X=319, Y=315, Z=0, Pen=Down
Point 123: X=319, Y=316, Z=0, Pen=Down
Point 124: X=316, Y=319, Z=0, Pen=Down
Point 125: X=316, Y=320, Z=0, Pen=Down
Point 126: X=311, Y=325, Z=0, Pen=Down
Point 127: X=311, Y=326, Z=0, Pen=Down
Point 128: X=308, Y=329, Z=0, Pen=Down
Point 129: X=307, Y=329, Z=0, Pen=Down
Point 130: X=306, Y=330, Z=0, Pen=Down
Point 131: X=305, Y=330, Z=0, Pen=Down
Point 132: X=300, Y=335, Z=0, Pen=Down
Point 133: X=299, Y=335, Z=0, Pen=Down
Point 134: X=297, Y=337, Z=0, Pen=Down
Point 135: X=296, Y=337, Z=0, Pen=Down
Point 136: X=295, Y=338, Z=0, Pen=Down
Point 137: X=294, Y=338, Z=0, Pen=Down
Point 138: X=292, Y=340, Z=0, Pen=Down
Point 139: X=291, Y=340, Z=0, Pen=Down
Point 140: X=290, Y=341, Z=0, Pen=Down
Point 141: X=289, Y=341, Z=0, Pen=Down
Point 142: X=288, Y=342, Z=0, Pen=Down
Point 143: X=287, Y=342, Z=0, Pen=Down
Point 144: X=286, Y=343, Z=0, Pen=Down
Point 145: X=284, Y=343, Z=0, Pen=Down
Point 146: X=283, Y=344, Z=0, Pen=Down
Point 147: X=281, Y=344, Z=0, Pen=Down
Point 148: X=280, Y=345, Z=0, Pen=Down
Point 149: X=278, Y=345, Z=0, Pen=Down
Point 150: X=277, Y=346, Z=0, Pen=Down
Point 151: X=276, Y=346, Z=0, Pen=Down
Point 152: X=275, Y=347, Z=0, Pen=Down
Point 153: X=272, Y=347, Z=0, Pen=Down
Point 154: X=271, Y=348, Z=0, Pen=Down
Point 155: X=267, Y=348, Z=0, Pen=Down
Point 156: X=266, Y=349, Z=0, Pen=Down
Point 157: X=260, Y=349, Z=0, Pen=Down
Point 158: X=259, Y=350, Z=0, Pen=Down
Point 159: X=241, Y=350, Z=0, Pen=Down
Point 160: X=240, Y=349, Z=0, Pen=Down
Point 161: X=234, Y=349, Z=0, Pen=Down
Point 162: X=233, Y=348, Z=0, Pen=Down
Point 163: X=230, Y=348, Z=0, Pen=Down
Point 164: X=229, Y=347, Z=0, Pen=Down
Point 165: X=226, Y=347, Z=0, Pen=Down
Point 166: X=225, Y=346, Z=0, Pen=Down
Point 167: X=222, Y=346, Z=0, Pen=Down
Point 168: X=221, Y=345, Z=0, Pen=Down
Point 169: X=219, Y=345, Z=0, Pen=Down
Point 170: X=218, Y=344, Z=0, Pen=Down
Point 171: X=217, Y=344, Z=0, Pen=Down
Point 172: X=216, Y=343, Z=0, Pen=Down
Point 173: X=215, Y=343, Z=0, Pen=Down
Point 174: X=214, Y=342, Z=0, Pen=Down
Point 175: X=212, Y=342, Z=0, Pen=Down
Point 176: X=211, Y=341, Z=0, Pen=Down
Point 177: X=210, Y=341, Z=0, Pen=Down
Point 178: X=209, Y=340, Z=0, Pen=Down
Point 179: X=208, Y=340, Z=0, Pen=Down
Point 180: X=206, Y=338, Z=0, Pen=Down
Point 181: X=205, Y=338, Z=0, Pen=Down
Point 182: X=203, Y=336, Z=0, Pen=Down
Point 183: X=202, Y=336, Z=0, Pen=Down
Point 184: X=200, Y=334, Z=0, Pen=Down
Point 185: X=198, Y=334, Z=0, Pen=Down
Point 186: X=184, Y=320, Z=0, Pen=Down
Point 187: X=184, Y=319, Z=0, Pen=Down
Point 188: X=181, Y=316, Z=0, Pen=Down
Point 189: X=181, Y=315, Z=0, Pen=Down
Point 190: X=179, Y=313, Z=0, Pen=Down
Point 191: X=179, Y=312, Z=0, Pen=Down
Point 192: X=177, Y=310, Z=0, Pen=Down
Point 193: X=177, Y=308, Z=0, Pen=Down
Point 194: X=176, Y=307, Z=0, Pen=Down
Point 195: X=176, Y=306, Z=0, Pen=Down
Point 196: X=175, Y=305, Z=0, Pen=Down
Point 197: X=175, Y=303, Z=0, Pen=Down
Point 198: X=174, Y=302, Z=0, Pen=Down
Point 199: X=174, Y=301, Z=0, Pen=Down
Point 200: X=173, Y=300, Z=0, Pen=Down
Point 201: X=173, Y=298, Z=0, Pen=Down
Point 202: X=172, Y=297, Z=0, Pen=Down
Point 203: X=172, Y=294, Z=0, Pen=Down
Point 204: X=171, Y=293, Z=0, Pen=Down
Point 205: X=171, Y=288, Z=0, Pen=Down
Point 206: X=170, Y=287, Z=0, Pen=Down
